127.0.0.1 - - [28/Jul/2017:16:36:55 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:36:56 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:36:56 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:36:56 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:45:05 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:45:05 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:45:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:47:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:47:23 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:47:23 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:50:37 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:54:18 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:54:18 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:54:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:55:24 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:55:24 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:55:25 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:56:03 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:56:03 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:56:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:56:15 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:56:15 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:56:15 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:59:31 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:59:31 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:16:59:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:17:00:53 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [28/Jul/2017:17:00:54 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:17:00:55 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:17:01:04 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:52 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:53 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:54 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:56 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [28/Jul/2017:19:02:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1082
